"species","RCP","OA","meanRangeDiff","meanRangePerCh"
690218,"R85","Y",-64897.7100606061,-36.6224574450589
690219,"R85","N",-1611551.07860606,-15.608622701352
690219,"R85","Y",-1614102.38921212,-15.6332889142449
690227,"R85","N",-1272826.25712121,-43.2411628019394
690227,"R85","Y",-1272834.59348485,-43.2414503191888
690228,"R85","N",-2020450.40118182,-58.8517891482943
690228,"R85","Y",-2075278.20136364,-60.4817669594688
690230,"R85","N",6134.05230303031,4.0467409416823
690230,"R85","Y",6110.10836363637,4.03206444464275
690232,"R85","N",-184495.308454545,-14.34536128593
690232,"R85","Y",-375707.710939394,-28.1708647624192
690241,"R85","N",65842.3113333334,4.29096588457597
690241,"R85","Y",51852.7490606061,3.38221969885628
690242,"R85","N",-64502.3805454545,-14.1232692331154
690242,"R85","Y",-81124.9142727273,-16.7327099472062
690249,"R85","N",2131.59484848485,7.86615709651472
690249,"R85","Y",2131.59484848485,7.86615709651472
690253,"R85","N",18375.7952424243,4.85382803089405
690253,"R85","Y",17071.9931212121,4.50968543930238
690256,"R85","N",3758.68472727274,1.81150302233947
690256,"R85","Y",3250.60342424244,1.62181901275087
690257,"R85","N",0,0
690257,"R85","Y",0,0
690259,"R85","N",40061.2480606061,195.343462508755
690259,"R85","Y",40061.2480606061,195.343462508755
690265,"R85","N",-40847.5423333333,-5.6746878920143
690265,"R85","Y",-36503.4865757575,-5.07617715855493
690268,"R85","N",-33104.8062121212,-4.1651195896478
690268,"R85","Y",-33384.1183333333,-4.20017556779516
690269,"R85","N",1689369.82427273,27.1487451902853
690269,"R85","Y",1680087.1539697,27.0028728388259
690270,"R85","N",123291.836181818,22.2518015227129
690270,"R85","Y",113908.399212121,20.5637606593029
690271,"R85","N",-1027980.74884849,-12.0279182363458
690271,"R85","Y",-1049180.85612121,-12.2756199388328
690272,"R85","N",48998.4092121213,7.71762222016598
690272,"R85","Y",50790.5473939394,7.99581510529031
690273,"R85","N",138798.580393939,4.48422878658928
690273,"R85","Y",138798.580393939,4.48422878658928
690274,"R85","N",-528773.36290909,-9.41370326997461
690274,"R85","Y",-517849.744727272,-9.20298120836184
690275,"R85","N",98290.3847575757,2.81484081936751
690275,"R85","Y",95408.2886969697,2.7320685322575
690279,"R85","N",82132.1988181818,15.6386484978356
690279,"R85","Y",82359.4224545455,15.6805389685907
690282,"R85","N",-80137.5229090908,-12.031421019582
690282,"R85","Y",-98519.2614545454,-14.404114555559
690283,"R85","N",-387782.852727273,-25.2100425490108
690283,"R85","Y",-520422.173606061,-34.2568906451147
690284,"R85","N",7138.11554545454,8.78826077419542
690284,"R85","Y",6171.16281818181,7.96526187127788
690285,"R85","N",8563.28651515154,1.49723684008824
690285,"R85","Y",8374.49530303036,1.46742914671358
690286,"R85","N",499605.605666667,62.6114492835804
690286,"R85","Y",495145.042333333,62.0680962319157
690287,"R85","N",502387.19969697,73.8889268443541
690287,"R85","Y",495037.987575758,72.8002908854117
690288,"R85","N",-11046.5304545455,-2.26362438221533
690288,"R85","Y",-11119.8104545455,-2.27862026681909
690296,"R85","N",1083570.28660606,56.3268307016754
690296,"R85","Y",1077174.08206061,55.9960283556736
690302,"R85","N",-1467979.38251515,-28.3254901677084
690302,"R85","Y",-1542083.10312121,-29.8254312743404
690303,"R85","N",25752.4010606061,31.842339980803
690303,"R85","Y",25752.4010606061,31.842339980803
690305,"R85","N",22819.5813030302,2.23753376866912
690305,"R85","Y",22686.7688787878,2.22461570813554
690309,"R85","N",-51086.0154545454,-22.1559898066784
690309,"R85","Y",-46348.5363636364,-20.0395997191253
690313,"R85","N",-56384.2910606059,-1.45749753066491
690313,"R85","Y",-60874.803060606,-1.58922299772573
690314,"R85","N",-54777.4683636364,-7.04266253370081
690314,"R85","Y",-79850.9798787879,-10.2752049129703
690320,"R85","N",-157701.827363636,-6.82048510200485
690320,"R85","Y",-226232.223727273,-9.78400049620324
690321,"R85","N",5524.973848485,0.476652095269033
690321,"R85","Y",3808.99233333347,0.32841433707716
690322,"R85","N",2314.89978787879,1.05927784922349
690322,"R85","Y",2314.89978787879,1.05927784922349
690325,"R85","N",-481364.477212121,-86.7374656438758
690325,"R85","Y",-481420.521454545,-86.7464805158077
690327,"R85","N",-171042.951181818,-4.70897611948957
690327,"R85","Y",-183998.06269697,-5.05718249126101
690328,"R85","N",-1194780.14933333,-43.6413497386891
690328,"R85","Y",-1209089.94066667,-44.2108534579135
690332,"R85","N",-44943.8034848485,-13.4505332686958
690332,"R85","Y",-59090.9668181818,-18.1788647954018
690334,"R85","N",-7703.41845454539,-0.455402836028059
690334,"R85","Y",-7906.51996969688,-0.467436620480204
690335,"R85","N",361693.925606061,131.720199129386
690335,"R85","Y",361530.233484849,131.700488514245
690337,"R85","N",3038.45387878797,0.111108975357643
690337,"R85","Y",-24174.1158181819,-0.874036473730757
690338,"R85","N",115306.277878788,18.2398062238924
690338,"R85","Y",114083.769393939,18.0509733648793
690341,"R85","N",-1632058.51736364,-53.2869794566188
690341,"R85","Y",-1749453.02321212,-57.5197403938767
690343,"R85","N",-1087411.97015151,-28.3698968610434
690343,"R85","Y",-1101171.00166667,-28.712110953265
690354,"R85","N",-28033.6562727273,-2.3749666669901
690354,"R85","Y",-34222.4235454545,-2.90400205937386
690356,"R85","N",-754260.211727273,-33.9633870669391
690356,"R85","Y",-754260.211727273,-33.9633870669391
690364,"R85","N",-277497.101,-18.9650904348499
690364,"R85","Y",-281425.286757576,-19.2258955069167
690370,"R85","N",44075.837969697,6.59249691830634
690370,"R85","Y",43842.351,6.55768822549055
690374,"R85","N",-315693.916484848,-15.6987680822017
690374,"R85","Y",-468348.199181818,-23.1253483135083
690377,"R85","N",-47576.6294545455,-4.08485077467042
690377,"R85","Y",-47701.894,-4.09566512252556
690378,"R85","N",-76920.6132121212,-4.61537570679533
690378,"R85","Y",-77446.9035454545,-4.65155070942683
690379,"R85","N",-1416797.85969697,-9.8580735985794
690379,"R85","Y",-1416834.03333333,-9.85832345050507
690381,"R85","N",-8038.68645454547,-1.2709387557145
690381,"R85","Y",-7250.89857575759,-1.14629597400037
690383,"R85","N",-221888.068575758,-29.178170370251
690383,"R85","Y",-239260.157060606,-32.5972725995825
690387,"R85","N",-55977.9765151514,-2.9285430534525
690387,"R85","Y",-55651.238030303,-2.91725357826809
690392,"R85","N",-76465.9203030304,-5.9522220866626
690392,"R85","Y",-80318.277090909,-6.27150884514137
690398,"R85","N",-95626.5497272727,-4.88220471290534
690398,"R85","Y",-139567.806030303,-7.12471344244923
690400,"R85","N",370682.880909091,20.9086780225205
690400,"R85","Y",336642.243939394,18.9821334109578
690403,"R85","N",-9579.40939393938,-2.1830436454997
690403,"R85","Y",-9579.40939393938,-2.1830436454997
690404,"R85","N",-159.089393939357,0.0832175911816276
690404,"R85","Y",-238.382727272653,0.0773248271724353
690411,"R85","N",25343.1123333334,3.4246894910461
690411,"R85","Y",23678.0123333334,3.19994021551139
690420,"R85","N",71948.4656363636,4.68770565863154
690420,"R85","Y",66131.7076363636,4.32012637440818
690423,"R85","N",-485139.735727273,-50.5259291727123
690423,"R85","Y",-613482.896151515,-65.0148700763493
690425,"R85","N",-316464.843393939,-40.7836654809571
690425,"R85","Y",-525268.935545455,-67.6955094921448
690429,"R85","N",150596.311636364,18.4385156166396
690429,"R85","Y",143193.914848485,17.5240932467819
690430,"R85","N",2990908.51921212,383.942403818647
690430,"R85","Y",2942364.93739394,377.69265605935
690432,"R85","N",-2547129.75151515,-47.9322419725686
690432,"R85","Y",-2505204.22124242,-47.1790452553237
690433,"R85","N",-29181.141030303,-21.4916316998338
690433,"R85","Y",-29674.1931515151,-21.8120069332929
690434,"R85","N",155126.800363636,21.7879111858819
690434,"R85","Y",151906.609757576,21.3398655975458
690440,"R85","N",-15137.3813333333,-16.7912820244666
690440,"R85","Y",-14119.018,-15.7636285184614
690444,"R85","N",-37224.0226363636,-42.9524732174529
690444,"R85","Y",-44754.0541818182,-49.5753883300528
690445,"R85","N",520311.625787879,100.162513769773
690445,"R85","Y",499394.660636364,96.1381086905129
690470,"R85","N",-1417953.48415152,-23.9525654304292
690470,"R85","Y",-1393958.11627273,-23.5461117924117
690595,"R85","N",2358474.06881818,14.8532393267557
690595,"R85","Y",2239220.64306061,14.1091369064848
690598,"R85","N",-168375.959393939,-17.9597884232852
690598,"R85","Y",-180345.793363636,-19.2558363850724
690606,"R85","N",2822.45457575757,2.11376750351826
690606,"R85","Y",2822.45457575757,2.11376750351826
690608,"R85","N",-124291.945393939,-4.81774566350015
690608,"R85","Y",-125608.600242424,-4.87024518113985
690609,"R85","N",26785.6836363637,3.1275666857608
690609,"R85","Y",26828.3115151516,3.1325289275413
690610,"R85","N",5942.02145454548,0.919905724971294
690610,"R85","Y",5898.77933333333,0.913207299315768
690611,"R85","N",-330219.361545454,-32.5168351349204
690611,"R85","Y",-775751.872757576,-71.2717575893568
690612,"R85","N",-49221.2955151515,-5.80149482950708
690612,"R85","Y",-51472.7273333333,-6.09369016456825
690615,"R85","N",160537.739090909,6.85465072735573
690615,"R85","Y",152866.118090909,6.52613495737741
690616,"R85","N",-53939.276,-54.567546464739
690616,"R85","Y",-53939.276,-54.567546464739
690617,"R85","N",442393.291,21.6894877010873
690617,"R85","Y",439066.484757576,21.5270691913137
690618,"R85","N",399537.37969697,51.8840931778622
690618,"R85","Y",396226.137575758,51.4379992830176
690619,"R85","N",-841.190636363657,-0.145342830059736
690619,"R85","Y",-985.522454545484,-0.171389288510085
690621,"R85","N",376607.177060606,12.5560353049899
690621,"R85","Y",376129.931606061,12.5402418589842
690622,"R85","N",-101830.86769697,-17.3368059171651
690622,"R85","Y",-102919.665575758,-17.5106492716646
690624,"R85","N",3942.31054545454,1.3918002641029
690624,"R85","Y",3942.31054545454,1.3918002641029
690625,"R85","N",-56119.4308484849,-0.973739743328133
690625,"R85","Y",-56119.4308484849,-0.973739743328133
690628,"R85","N",-18092.229030303,-4.88215677759416
