"lme","Year","RCP","MMA.MeanCat","MMA.TrimMeanCat","MMA.MedCat","Count"
0,2017,"R85",-0.926849481383585,-0.926849481383585,-0.387110357889685,206
0,2018,"R26",-0.768668891499756,-0.768668891499756,-0.346718737030244,206
0,2018,"R85",-0.917926220255006,-0.917926220255006,-0.402554459526788,206
0,2019,"R26",-0.760750534714428,-0.760750534714428,-0.356352520922387,206
0,2019,"R85",-0.904300742185963,-0.904300742185963,-0.406715445055033,206
0,2020,"R26",-0.726539471214132,-0.726539471214132,-0.337150946914261,206
0,2020,"R85",-0.907885531928252,-0.907885531928252,-0.424088961933013,206
0,2021,"R26",-0.739650188864415,-0.739650188864415,-0.345106618602472,206
0,2021,"R85",-0.933348942005241,-0.933348942005241,-0.430914493808047,206
0,2022,"R26",-0.726957646103086,-0.726957646103086,-0.327886395761916,206
0,2022,"R85",-0.936691954344999,-0.936691954344999,-0.428033251004916,206
0,2023,"R26",-0.721444797505218,-0.721444797505218,-0.323168281954327,206
0,2023,"R85",-0.945256767742449,-0.945256767742449,-0.432841588337564,206
0,2024,"R26",-0.718763342769493,-0.718763342769493,-0.320195367582646,206
0,2024,"R85",-0.943103581125242,-0.943103581125242,-0.432032149659168,206
0,2025,"R26",-0.709923863619866,-0.709923863619866,-0.310491907018639,206
0,2025,"R85",-0.93831784257772,-0.93831784257772,-0.453483238853831,206
0,2026,"R26",-0.702345258059983,-0.702345258059983,-0.310307319488061,206
0,2026,"R85",-0.946384049326499,-0.946384049326499,-0.44303887823275,206
0,2027,"R26",-0.698379913053029,-0.698379913053029,-0.301378309487889,206
0,2027,"R85",-0.963744803611303,-0.963744803611303,-0.463872175773133,206
0,2028,"R26",-0.683847775531942,-0.683847775531942,-0.288255874357117,206
0,2028,"R85",-0.995029988797768,-0.995029988797768,-0.473315270320518,206
0,2029,"R26",-0.681875969480913,-0.681875969480913,-0.27629658996474,206
0,2029,"R85",-1.02457216268657,-1.02457216268657,-0.478524555538929,206
0,2030,"R26",-0.690025939663329,-0.690025939663329,-0.268707953804971,206
0,2030,"R85",-1.02692947296624,-1.02692947296624,-0.466790831446822,206
0,2031,"R26",-0.686234017790949,-0.686234017790949,-0.257436364215234,206
0,2031,"R85",-1.0270853334824,-1.0270853334824,-0.464768122170545,206
0,2032,"R26",-0.688436338138952,-0.688436338138952,-0.254855494351187,206
0,2032,"R85",-1.0373207685181,-1.0373207685181,-0.473751863660176,206
0,2033,"R26",-0.669853289270308,-0.669853289270308,-0.24627338712597,206
0,2033,"R85",-1.04646470800522,-1.04646470800522,-0.478672134890154,206
0,2034,"R26",-0.645117622665271,-0.645117622665271,-0.233904488959974,206
0,2034,"R85",-1.07221416571688,-1.07221416571688,-0.473169752071852,206
0,2035,"R26",-0.66165841299221,-0.66165841299221,-0.237958545313258,206
0,2035,"R85",-1.09040648035963,-1.09040648035963,-0.48807786656689,206
0,2036,"R26",-0.645524381904114,-0.645524381904114,-0.237135667425853,206
0,2036,"R85",-1.12411085324796,-1.12411085324796,-0.490351955516706,206
0,2037,"R26",-0.61068572921227,-0.61068572921227,-0.224215618215753,206
0,2037,"R85",-1.14519734821446,-1.14519734821446,-0.493673023876536,206
0,2038,"R26",-0.605645779963361,-0.605645779963361,-0.225783994409417,206
0,2038,"R85",-1.16837693326597,-1.16837693326597,-0.496631728742843,206
0,2039,"R26",-0.582520271243318,-0.582520271243318,-0.211934988697721,206
0,2039,"R85",-1.18964457042034,-1.18964457042034,-0.518595945148054,206
0,2040,"R26",-0.560225482308336,-0.560225482308336,-0.197491602526208,206
0,2040,"R85",-1.23348491342408,-1.23348491342408,-0.535385103237898,206
0,2041,"R26",-0.534244781801937,-0.534244781801937,-0.185694152209229,206
0,2041,"R85",-1.26321044556756,-1.26321044556756,-0.549010280057815,206
0,2042,"R26",-0.539033622495007,-0.539033622495007,-0.180317294083092,206
0,2042,"R85",-1.30845530410557,-1.30845530410557,-0.555247874780592,206
0,2043,"R26",-0.555881361825726,-0.555881361825726,-0.179954963442494,206
0,2043,"R85",-1.34031813590891,-1.34031813590891,-0.57065800003501,206
0,2044,"R26",-0.583466719067848,-0.583466719067848,-0.186601015623034,206
0,2044,"R85",-1.37184544645345,-1.37184544645345,-0.578859205090013,206
0,2045,"R26",-0.585409308107253,-0.585409308107253,-0.169300925174621,206
0,2045,"R85",-1.43391526324767,-1.43391526324767,-0.6081610220463,206
0,2046,"R26",-0.596970550697154,-0.596970550697154,-0.173159005575525,206
0,2046,"R85",-1.46767531878986,-1.46767531878986,-0.63028653990067,206
0,2047,"R26",-0.610534727153686,-0.610534727153686,-0.167080997540639,206
0,2047,"R85",-1.49965177090855,-1.49965177090855,-0.637085156814213,206
0,2048,"R26",-0.637527506061117,-0.637527506061117,-0.164805791452769,206
0,2048,"R85",-1.53473568851041,-1.53473568851041,-0.632965776578587,206
0,2049,"R26",-0.669428189106373,-0.669428189106373,-0.179204993516372,206
0,2049,"R85",-1.58673847743041,-1.58673847743041,-0.664801990718436,206
0,2050,"R26",-0.673888226400134,-0.673888226400134,-0.177141916480797,206
0,2050,"R85",-1.62002964367424,-1.62002964367424,-0.668170776278957,206
0,2051,"R26",-0.675644121640741,-0.675644121640741,-0.179334365806536,206
0,2051,"R85",-1.67698038819131,-1.67698038819131,-0.677061916947843,206
0,2052,"R26",-0.661292598892658,-0.661292598892658,-0.162949270203428,206
0,2052,"R85",-1.73805458600415,-1.73805458600415,-0.702189227157592,206
0,2053,"R26",-0.658402596875005,-0.658402596875005,-0.157889586779444,206
0,2053,"R85",-1.80581169349938,-1.80581169349938,-0.711968970574411,206
0,2054,"R26",-0.666652940289739,-0.666652940289739,-0.138463186934803,206
